youthidCUF,classidCUF,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs
20320116,203201,9,5,0,1,3,0,1,3,3
20320117,203201,0,5,0,3,2,0,2,1,2
20320118,203201,1,5,0,4,5,0,2,3,5
20320119,203201,8,1,0,2,2,0,2,1,2
20320120,203201,8,4,0,2,2,0,1,2,2
20320121,203201,2,5,0,6,3,0,3,1,3
20320122,203201,10,5,0,2,2,0,2,1,2
20320123,203201,1,4,0,4,4,0,3,2,4
20320126,203201,2,3,0,4,3,0,2,2,3
20320410,203204,0,5,0,2,3,0,1,3,3
20320414,203204,10,0,0,0,0,1,0,1,0
20320419,203204,0,5,0,1,5,0,1,4,5
20320420,203204,1,1,0,1,3,0,1,3,3
20320421,203204,0,2,0,3,5,0,2,3,5
20320423,203204,2,2,0,3,4,0,3,2,4
20320424,203204,0,2,0,2,3,0,0,4,3
20320425,203204,0,2,0,3,3,0,2,2,3
20320426,203204,0,2,0,2,2,0,1,2,2
20320428,203204,2,3,0,1,3,0,0,4,3
20320429,203204,0,1,0,2,5,0,2,3,5
20330312,203303,10,5,0,3,3,0,3,1,3
20330313,203303,2,3,0,2,4,0,2,3,4
20330314,203303,4,4,0,2,4,0,2,3,4
20330315,203303,4,3,0,2,5,0,2,3,5
20330316,203303,2,3,0,3,2,0,2,1,2
20330317,203303,2,1,0,5,3,0,2,2,3
20330319,203303,2,3,0,5,4,0,3,2,4
20330320,203303,4,3,0,2,4,0,2,3,4
20330322,203303,0,0,1,5,3,0,2,2,3
20330324,203303,0,2,0,3,2,0,2,1,2
20330327,203303,4,3,0,4,3,0,2,2,3
20350212,203502,2,5,0,2,4,0,2,3,4
20350214,203502,2,2,0,4,5,0,3,2,5
20350216,203502,1,4,0,3,5,0,2,3,5
20350218,203502,2,5,0,4,5,0,3,2,5
20350220,203502,2,5,0,3,5,0,3,2,5
20350222,203502,0,3,0,2,5,0,2,3,5
20350224,203502,1,3,0,5,5,0,1,4,5
20350225,203502,5,5,0,1,5,0,1,4,5
20350227,203502,0,5,0,2,2,0,1,2,2
20350410,203504,5,2,0,5,5,0,4,1,5
