youthidCUF,pos_outdegree,neg_outdegree,pos_indegree,neg_indegree,reciprocal,non_reciprocal,pos_isolate,neg_isolate
18500125,2,2,2,1,2,1,0,0
18500126,0,2,0,14,0,1,1,0
18560305,4,5,3,3,1,4,0,0
18560306,5,5,1,1,1,4,0,0
18560307,4,5,2,2,2,3,0,0
18560309,2,3,2,2,2,1,0,0
18560313,4,5,2,4,2,3,0,0
18560316,2,5,2,2,0,3,0,0
18560317,2,4,1,0,1,2,0,0
18560318,5,4,0,7,0,5,0,0
18560319,3,5,1,4,1,3,0,0
18560325,2,3,2,3,2,1,0,0
19860202,5,1,4,1,4,1,0,0
19860204,5,3,3,3,3,2,0,0
19860205,4,1,1,2,1,4,0,0
19860206,5,5,6,0,4,1,0,0
19860207,5,1,1,1,0,5,0,0
19860208,4,1,6,1,3,2,0,0
19860210,3,5,4,2,1,3,0,0
19860211,5,5,6,2,4,1,0,0
19860214,3,5,1,0,1,3,0,0
19860215,1,5,1,2,1,1,0,0
20320101,3,2,2,2,2,2,0,0
20320102,5,5,3,8,3,2,0,0
20320103,2,5,2,7,2,1,0,0
20320104,3,3,2,0,1,3,0,0
20320105,2,5,0,3,0,3,0,0
20320106,3,4,3,2,3,1,0,0
20320109,5,2,3,2,3,2,0,0
20320110,3,3,5,0,3,1,0,0
20320112,4,5,2,7,1,4,0,0
20320114,4,5,5,1,2,3,0,0
20320115,5,4,7,1,4,1,0,0
20320116,3,5,1,9,1,3,0,0
20320117,2,5,3,0,2,1,0,0
20320118,5,5,4,1,2,3,0,0
20320119,2,1,2,8,2,1,0,0
20320120,2,4,2,8,1,2,0,0
20320121,3,5,6,2,3,1,0,0
20320122,2,5,2,10,2,1,0,0
20320123,4,4,4,1,3,2,0,0
20320126,3,3,4,2,2,2,0,0
20320401,5,5,3,4,2,3,0,0
20320403,5,0,3,2,3,2,0,0
20320405,1,4,0,1,0,2,0,0
20320410,3,5,2,0,1,3,0,0
20320414,0,0,0,10,0,1,1,0
20320419,5,5,1,0,1,4,0,0
20320420,3,1,1,1,1,3,0,0
20320421,5,2,3,0,2,3,0,0
20320423,4,2,3,2,3,2,0,0
20320424,3,2,2,0,0,4,0,0
20320425,3,2,3,0,2,2,0,0
20320426,2,2,2,0,1,2,0,0
20320428,3,3,1,2,0,4,0,0
20320429,5,1,2,0,2,3,0,0
20330301,4,5,4,4,3,2,0,0
20330303,5,5,3,3,3,2,0,0
20330304,5,3,3,3,3,2,0,0
20330305,3,5,0,0,0,4,0,0
20330306,2,3,5,2,2,1,0,0
20330307,4,3,2,5,2,3,0,0
