youthidCUF,classidCUF.x,schoolidCUF,schtype_geRV,y1_sex,y1_doby,y1_nationRV,y1_lpsc1,y1_lpsc2,y1_lpsc3,y1_lpsc4,y1_fact,y1_sat2,y1_sat1,y1_pbsch1,y1_pbsch2,y1_vict1,y1_vict2,y1_vict3,y1_pdisc1,y1_date,y1_fcoh1,y1_fcoh2,y1_fcoh3,y1_fcoh4,y1_fcoh5,y1_pdem1,y1_pdem2,y1_pdem3,y1_pdem4,y1_pdem5,y1_pdem6,y1_pdem7,y1_pinv1,y1_pinv2,y1_pinv3,y1_migage,y1_educm3,y1_educf3,y1_gradem_geCUF,y1_gradesc_geCUF,y1_gradee_geCUF,y1_repeat,y1_iseimG,y1_iseifG,y1_edasp1CS,y1_edasp2CS,y1_edasp3CS,y1_sspm,y1_sspsc,y1_sspe,y1_seff1,y1_seff2,y1_valed1,y1_asch2,y1_asch1,y1_tenc1,y1_tenc2,y1_tenc3,y1_idsc,y1_club,y1_generationGCUF,class_size,classidCUF.y,neg_indegree,neg_outdegree,neg_isolate,pos_indegree,pos_outdegree,pos_isolate,n_mutual_bfs,non_reciprocal,num_bfs,classidCUF,y1_cot_sum,y1_lat_sum
11520112,115201,1152,3,1,1996,1,5,5,5,4,4,8,10,5,5,4,4,4,4,2,2,4,1,4,4,1,4,4,4,1,1,1,4,4,5,-77,2,2,2,2,3,1,57,22.770000457763672,8,8,-99,2,2,2,1,1,1,1,4,2,2,1,1,1,2,21,115201,0,2,0,2,5,0,2,3,5,115201,19,14
11520114,115201,1152,3,2,1996,1,5,5,5,5,4,8,10,5,5,4,4,4,4,2,3,4,2,4,3,2,5,4,3,1,1,2,3,2,2,-77,2,-99,3,2,3,1,28.84000015258789,-55,7,7,-99,3,2,3,1,1,1,3,5,3,2,4,1,1,0,21,115201,0,2,0,3,3,0,2,2,3,115201,22,11
11520115,115201,1152,3,1,1994,2,4,4,3,3,4,7,8,4,4,3,4,4,3,2,3,4,3,4,4,3,2,3,3,3,2,3,2,3,2,-77,2,2,2,3,1,3,16.5,24.530000686645508,9,9,8,3,4,3,2,2,1,2,4,3,3,3,3,2,2,21,115201,0,1,0,6,5,0,4,1,5,115201,20,13
11520116,115201,1152,3,1,1994,1,5,5,4,4,4,3,1,2,5,2,4,4,2,2,4,1,4,1,1,5,3,2,1,3,5,5,3,3,2,-77,2,2,1,2,3,3,-88,54.27000045776367,8,8,8,2,2,3,1,1,1,2,4,5,5,1,1,1,0,21,115201,1,0,0,3,5,0,2,3,5,115201,22,13
11520118,115201,1152,3,2,1994,-88,4,4,3,3,4,4,5,5,5,3,3,3,3,2,3,3,3,3,2,4,2,2,2,4,2,4,2,4,2,-77,-99,-99,3,3,3,3,66.41999816894531,-88,8,7,8,3,3,3,2,2,2,2,4,2,2,4,2,1,2,21,115201,1,3,0,2,3,0,2,2,3,115201,21,10
11520119,115201,1152,3,1,1996,1,4,5,4,4,3,10,9,5,5,2,2,3,4,2,1,3,2,4,3,1,4,5,5,1,1,1,2,2,2,-77,2,2,1,2,1,1,28.479999542236328,30.59000015258789,9,8,7,2,3,3,1,1,1,1,5,3,2,5,1,2,0,21,115201,3,5,0,2,5,0,2,3,5,115201,18,9
11520120,115201,1152,3,2,1995,1,4,4,5,5,4,8,9,5,5,4,4,4,4,2,2,4,2,4,4,2,5,5,4,2,1,3,3,2,2,-77,-99,-99,3,1,1,1,24.979999542236328,61.06999969482422,7,7,7,3,2,2,2,2,2,3,5,2,2,2,1,1,0,21,115201,14,5,0,1,3,0,1,3,3,115201,18,11
11520123,115201,1152,3,2,1996,1,4,4,3,3,3,5,5,5,5,4,4,4,4,1,3,2,3,3,2,3,4,2,2,3,2,3,2,2,3,-77,2,-99,1,2,1,1,14.210000038146973,36.349998474121094,8,8,8,2,3,3,2,2,2,2,4,2,2,4,2,2,2,21,115201,1,3,0,2,3,0,2,2,3,115201,24,10
11520124,115201,1152,3,1,1994,2,4,4,5,5,4,2,9,4,5,4,3,3,3,2,3,2,3,3,3,2,4,5,4,2,2,2,4,5,4,7,2,-99,3,1,1,3,-88,30.780000686645508,8,8,7,4,2,3,1,1,1,1,4,3,3,2,1,2,1,21,115201,5,3,0,3,3,0,2,2,3,115201,19,13
11520125,115201,1152,3,1,1995,2,4,4,4,4,4,9,9,4,4,4,4,4,4,2,3,3,3,3,3,2,3,4,4,2,1,2,4,4,3,-77,2,2,3,3,3,1,28.479999542236328,30.489999771118164,8,7,8,2,2,2,2,2,1,2,4,4,4,2,3,2,2,21,115201,3,5,0,2,4,0,2,3,4,115201,22,10
