ISEI_parent,cog_abil,sch_satisfaction,class_size,age,schooltype,immigrant,youthidCUF,classidCUF,schoolidCUF,pos_indegree,pos_outdegree,pos_isolate,neg_indegree,neg_outdegree,neg_isolate,reciprocal,non_reciprocal,german,sch_combo,sch_int,sch_comp,sch_secondary,sch_specneed,sexgirl
-0.7888965126998889,-1.8802526857796162,7,-1.6925766058147294,0.4087141829980414,1,0,18560309,185603,1856,2,2,0,2,3,0,2,1,0,0,0,0,0,0,1
-0.5944528788038741,-0.6728176922035379,5,-1.6925766058147294,0.4087141829980414,1,0,18560313,185603,1856,2,4,0,4,5,0,2,3,0,0,0,0,0,0,1
0.16742003898143576,-0.5218883180065281,8,-1.6925766058147294,0.4087141829980414,1,0,18560316,185603,1856,2,2,0,2,5,0,0,3,1,0,0,0,0,0,1
-1.0204434957819084,-0.6728176922035379,7,-1.6925766058147294,0.4087141829980414,1,1,18560317,185603,1856,1,2,0,0,4,0,1,2,1,0,0,0,0,0,1
-0.566834693944902,-0.3709589438095184,9,-1.6925766058147294,-1.0068622123632807,1,0,18560318,185603,1856,0,5,0,7,4,0,0,5,1,0,0,0,0,0,1
-0.945120989623868,-1.1256058147945673,5,-1.6925766058147294,0.4087141829980414,1,0,18560325,185603,1856,2,2,0,3,3,0,2,1,0,0,0,0,0,0,1
0.525062347537008,-0.22002956961250858,8,-1.6925766058147294,-1.0068622123632807,1,0,19860202,198602,1986,4,5,0,1,1,0,4,1,1,0,0,0,0,0,0
-0.7492825161807376,1.8929816691456285,7,-1.6925766058147294,1.8242905783593635,1,0,19860204,198602,1986,3,5,0,3,3,0,3,2,1,0,0,0,0,0,0
-0.14530778699845334,0.6855466755695502,3,-1.6925766058147294,1.8242905783593635,1,0,19860205,198602,1986,1,4,0,2,1,0,1,4,1,0,0,0,0,0,0
-0.7462138585351396,0.83647604976656,4,-1.6925766058147294,-1.0068622123632807,1,0,19860206,198602,1986,6,5,0,0,5,0,4,1,0,0,0,0,0,0,0
0.33368747770602714,-0.6728176922035379,8,-1.6925766058147294,1.8242905783593635,1,0,19860207,198602,1986,1,5,0,1,1,0,0,5,1,0,0,0,0,0,0
-0.8898844602767702,-0.3709589438095184,5,-1.6925766058147294,0.4087141829980414,1,0,19860208,198602,1986,6,4,0,1,1,0,3,2,0,0,0,0,0,0,0
0.8182620473892522,-1.1256058147945673,7,-1.6925766058147294,0.4087141829980414,1,0,19860210,198602,1986,4,3,0,2,5,0,1,3,1,0,0,0,0,0,0
0.9192500481758514,-0.5218883180065281,6,-1.6925766058147294,1.8242905783593635,1,0,19860211,198602,1986,6,5,0,2,5,0,4,1,1,0,0,0,0,0,0
-0.12968530738022463,0.5346173013725404,5,-1.6925766058147294,-1.0068622123632807,1,0,19860214,198602,1986,1,3,0,0,5,0,1,3,1,0,0,0,0,0,1
-0.3866187001200003,-1.1256058147945673,7,-1.6925766058147294,0.4087141829980414,1,0,19860215,198602,1986,1,1,0,2,5,0,1,1,1,0,0,0,0,0,1
0.22098269702033338,0.5346173013725404,5,0.8154239246069938,0.4087141829980414,4,0,20320101,203201,2032,2,3,0,2,2,0,2,2,0,0,0,1,0,0,0
1.5988261556481067,0.3836879271755306,7,0.8154239246069938,0.4087141829980414,4,0,20320102,203201,2032,3,5,0,8,5,0,3,2,1,0,0,1,0,0,0
1.4275373690475042,-0.8237470664005477,5,0.8154239246069938,0.4087141829980414,4,0,20320103,203201,2032,2,2,0,7,5,0,2,1,1,0,0,1,0,0,1
-1.0977187187752209,-2.3330408083706455,8,0.8154239246069938,0.4087141829980414,4,0,20320104,203201,2032,2,3,0,0,3,0,1,3,1,0,0,1,0,0,1
-0.8912793264287447,-0.22002956961250858,6,0.8154239246069938,1.8242905783593635,4,0,20320105,203201,2032,0,2,0,3,5,0,0,3,1,0,0,1,0,0,0
1.271312998542961,1.4401935465545992,5,0.8154239246069938,-1.0068622123632807,4,0,20320106,203201,2032,3,3,0,2,4,0,3,1,1,0,0,1,0,0,0
-1.0879547089211163,0.2327585529785208,9,0.8154239246069938,-1.0068622123632807,4,0,20320109,203201,2032,3,5,0,2,2,0,3,2,1,0,0,1,0,0,1
1.1248523984487913,-0.22002956961250858,5,0.8154239246069938,-1.0068622123632807,4,0,20320110,203201,2032,5,3,0,0,3,0,3,1,1,0,0,1,0,0,1
-0.7972657096117367,-0.06910019541549878,7,0.8154239246069938,-1.0068622123632807,4,0,20320112,203201,2032,2,4,0,7,5,0,1,4,1,0,0,1,0,0,1
